iter	RMSE
0	585.9824674
1	582.7071717
2	579.8890743
3	577.2301495
4	574.9543299
5	572.7103254
6	570.6030409
7	568.7278814
8	567.029608
9	565.3185662
10	563.7554621
11	562.3595153
12	561.0503404
13	559.7464434
14	558.5473308
15	557.4203769
16	556.2459131
17	555.2373898
18	554.2935337
19	553.3915742
20	552.5416813
21	551.7128242
22	550.957202
23	550.2554223
24	549.6245553
25	548.9531654
26	548.3661436
27	547.6814117
28	547.082031
29	546.4115671
30	545.8573036
31	545.3447477
32	544.796247
33	544.349669
34	543.9391037
35	543.5273002
36	543.1101306
37	542.715169
38	542.0967898
39	541.7031643
40	541.2690309
41	540.9264318
42	540.6760033
43	540.3601142
44	540.0926477
45	539.8191864
46	539.4788744
47	539.1840257
48	538.9679224
49	538.5902166
50	538.183991
51	537.9008901
52	537.5682319
53	537.3477799
54	537.0951669
55	536.8447246
56	536.4319593
57	536.218638
58	535.8158492
59	535.6258243
60	535.3320792
61	535.1079825
62	534.9053559
63	534.5929487
64	534.4241001
65	534.2140024
66	534.0572384
67	533.7481646
68	533.4645345
69	533.1760059
70	532.9547896
71	532.7741054
72	532.5903909
73	532.3228876
74	532.0781644
75	531.8742202
76	531.7087875
77	531.5157578
78	531.3251373
79	531.2181379
80	531.0615345
81	530.9252058
82	530.7733702
83	530.6159931
84	530.4575151
85	530.3202602
86	530.1829871
87	530.050453
88	529.9150666
89	529.8254934
90	529.6751167
91	529.5653125
92	529.4993921
93	529.3795041
94	529.250613
95	529.15748
96	529.0282398
97	528.9446582
98	528.7263
99	528.499722
100	528.4077453
101	528.3331765
102	528.2546957
103	528.0938694
104	528.004609
105	527.8348032
106	527.6896021
107	527.6184633
108	527.474835
109	527.4062374
110	527.2649226
111	527.156073
112	527.0274331
113	526.9368964
114	526.853812
115	526.800971
116	526.7298081
117	526.6307235
118	526.4627459
119	526.0591426
120	525.9374691
121	525.8542726
122	525.7583113
123	525.6690085
124	525.5786209
125	525.4918948
126	525.3698806
127	525.260188
128	525.1932454
129	525.1128862
130	524.9968759
131	524.9154485
132	524.8391285
133	524.7397206
134	524.6096718
135	524.5525196
136	524.4559567
137	524.3341873
138	524.2690091
139	524.2289306
140	524.1563933
141	524.0825894
142	524.0167595
143	523.9127625
144	523.822341
145	523.327703
146	523.23935
147	523.171269
148	523.1119968
149	523.0449601
150	522.9240826
151	522.8757848
152	522.8081146
153	522.7604493
154	522.6936819
155	522.5966681
156	522.5396725
157	522.4495728
158	522.3687363
159	522.3034234
160	522.2619041
161	522.182681
162	522.121703
163	522.0661812
164	521.9773168
165	521.8796563
166	521.8011218
167	521.732749
168	521.5959666
169	521.5361628
170	521.4888722
171	521.4229313
172	521.3677689
173	521.2960232
174	521.24426
175	521.188725
176	521.0777481
177	521.012342
178	520.9291695
179	520.8824185
180	520.8249644
181	520.7739197
182	520.740121
183	520.7044324
184	520.6166647
185	520.5238835
186	519.6025356
187	519.5683182
188	519.4572174
189	519.3807752
190	519.2966869
191	519.1729249
192	519.132609
193	519.0764586
194	519.0015198
195	518.9454769
196	518.9133563
197	518.870414
198	518.7622897
199	518.6932158
200	518.0877656
201	518.0471374
202	518.0025834
203	517.9524561
204	517.8989733
205	517.8460415
206	517.7826518
207	517.7375914
208	517.6755979
209	517.631323
210	517.5830869
211	517.52954
212	517.4856548
213	517.4483278
214	517.3802698
215	517.2927756
216	517.2536092
217	517.2151063
218	517.1725786
219	517.1274593
220	517.0476963
221	516.9767334
222	516.924279
223	516.874481
224	516.8168373
225	516.7702793
226	516.7193729
227	516.64333
228	516.6071669
229	516.5652306
230	516.5034255
231	516.4703232
232	516.4389095
233	516.3701164
234	516.3327328
235	516.2859748
236	516.2372443
237	516.201159
238	514.8460628
239	514.7634933
240	514.7176122
241	514.6764002
242	514.6421774
243	514.5900096
244	514.3250256
245	514.2330646
246	514.2008411
247	514.1322773
248	513.8636153
249	513.8150199
250	513.7520725
251	513.7110652
252	513.6277175
253	513.5666324
254	513.4766697
255	513.4397825
256	513.3810523
257	513.3059552
258	513.2549342
259	513.1911157
260	513.1542448
261	512.8533685
262	512.0723277
263	512.0038196
264	511.6828114
265	510.9208375
266	509.7878765
267	508.7543804
268	507.6198287
269	507.5712315
