iter	Passed	Remaining
0	40	40569
1	85	42784
2	130	43496
3	173	43078
4	227	45265
5	270	44843
6	299	42551
7	337	41819
8	371	40920
9	399	39585
10	431	38752
11	464	38223
12	498	37870
13	530	37346
14	564	37056
15	600	36926
16	636	36776
17	670	36591
18	705	36439
19	741	36351
20	781	36440
21	817	36354
22	853	36267
23	887	36105
24	919	35874
25	950	35620
26	982	35401
27	1021	35476
28	1059	35472
29	1097	35487
30	1128	35266
31	1162	35161
32	1193	34970
33	1226	34854
34	1261	34769
35	1293	34644
36	1329	34608
37	1363	34525
38	1400	34515
39	1432	34380
40	1472	34450
41	1506	34369
42	1533	34118
43	1562	33949
44	1595	33858
45	1626	33722
46	1655	33569
47	1693	33596
48	1726	33507
49	1759	33438
50	1790	33319
51	1822	33217
52	1854	33135
53	1882	32978
54	1914	32899
55	1956	32973
56	2007	33216
57	2075	33702
58	2145	34211
59	2199	34464
60	2292	35284
61	2356	35654
62	2423	36050
63	2459	35972
64	2493	35871
65	2526	35756
66	2569	35785
67	2624	35968
68	2658	35866
69	2688	35722
70	2721	35614
71	2755	35517
72	2786	35389
73	2819	35276
74	2850	35156
75	2884	35073
76	2917	34976
77	2952	34901
78	2982	34765
79	3014	34666
80	3048	34589
81	3082	34513
82	3114	34405
83	3148	34332
84	3177	34201
85	3218	34208
86	3267	34286
87	3316	34376
88	3357	34365
89	3392	34298
90	3425	34214
91	3466	34213
92	3499	34129
93	3530	34028
94	3560	33917
95	3591	33818
96	3629	33786
97	3662	33713
98	3689	33577
99	3728	33556
100	3766	33521
101	3797	33432
102	3829	33348
103	3861	33272
104	3894	33198
105	3925	33109
106	3954	33003
107	3986	32922
108	4025	32903
109	4061	32863
110	4095	32804
111	4130	32751
112	4167	32715
113	4200	32648
114	4236	32602
115	4280	32617
116	4313	32552
117	4348	32499
118	4385	32463
119	4418	32402
120	4451	32336
121	4483	32267
122	4514	32191
123	4546	32115
124	4582	32077
125	4615	32014
126	4643	31918
127	4681	31891
128	4713	31826
129	4748	31781
130	4781	31716
131	4815	31663
132	4849	31609
133	4881	31548
134	4914	31487
135	4956	31486
136	4989	31429
137	5023	31376
138	5055	31314
139	5090	31268
140	5128	31241
141	5169	31233
142	5199	31163
143	5238	31141
144	5271	31080
145	5307	31048
146	5349	31039
147	5390	31031
148	5426	30994
149	5458	30929
150	5488	30858
151	5516	30773
152	5554	30746
153	5588	30697
154	5624	30660
155	5659	30620
156	5697	30593
157	5730	30538
158	5802	30689
159	5841	30665
160	5873	30608
161	5908	30561
162	5945	30528
163	5977	30472
164	6009	30412
165	6048	30387
166	6087	30366
167	6133	30375
168	6172	30350
169	6214	30341
170	6253	30317
171	6289	30276
172	6320	30214
173	6354	30164
174	6393	30140
175	6432	30114
176	6462	30050
177	6493	29985
178	6524	29925
179	6555	29863
180	6588	29810
181	6620	29755
182	6655	29711
183	6687	29659
184	6722	29616
185	6752	29552
186	6784	29497
187	6818	29449
188	6852	29402
189	6886	29357
190	6920	29313
191	6953	29264
192	6987	29219
193	7021	29171
194	7054	29123
195	7087	29073
196	7120	29023
197	7151	28967
198	7183	28913
199	7215	28860
200	7249	28816
201	7282	28770
202	7317	28727
203	7361	28723
204	7393	28671
205	7424	28616
206	7456	28564
207	7486	28504
208	7516	28446
209	7558	28435
210	7591	28387
211	7627	28350
212	7658	28295
